Referencia,ID,Criterio_medida,Descripcion,Tipo,Etapa_ciclo_vida,E1_bioclimatica,E2_energia,E3_agua,E4_materiales,Enfoque_genero,Inclusion_social,Aplica_vivienda_rural,Clima,Subsistema,Caracter_legal,Nivel_cumplimiento,Parametro_indicador,Correspondencia_cruzada
Res.0194,MP-01,Relación Ventana / Pared (RVP),Proporción entre superficie vidriada y pared externa; equilibrar luz natural vs. transferencia calor,medida_pasiva,operación,Principal,,,,,,si,todos,Envolvente,obligatorio,recomendada,RVP (%),Res.0534:S-CL-1
Res.0194,MP-02,Protección solar horizontal,Aleros/voladizos sobre ventanas; bloquean radiación con ángulo alto,medida_pasiva,operación,Principal,,,,,,si,templado calido_seco calido_humedo,Envolvente Cubierta,obligatorio,recomendada,ASV (°),CEELA:C02
Res.0194,MP-03,Protección solar vertical,Aletas laterales a ventanas; bloquean radiación con ángulo bajo,medida_pasiva,operación,Principal,,,,,,si,templado calido_seco,Envolvente,obligatorio,recomendada,ASH (°),CEELA:C02
Res.0194,MP-04,Protección solar combinada,Combinación de elementos horizontales + verticales,medida_pasiva,operación,Principal,,,,,,si,templado calido_seco calido_humedo,Envolvente,obligatorio,recomendada,ASV+ASH,CEELA:C02
Res.0194,MP-05,Valor U del vidrio,Resistencia del vidrio al flujo de calor; menor U = mejor aislante,medida_pasiva,operación,Principal,,,Complementario,,,condicional,frio,Envolvente,obligatorio,recomendada,Valor U (W/m²K),CEELA:C04; Res.0534:S-CT-1
Res.0194,MP-06,SHGC del vidrio,Coeficiente 0-1 de paso de radiación infrarroja; menor SHGC = menos ganancia solar,medida_pasiva,operación,Principal,,,,,,condicional,templado calido_seco calido_humedo,Envolvente,obligatorio,recomendada,SHGC (0-1),CEELA:C02
Res.0194,MP-07,Vidrio U + SHGC combinado,En cálido: SHGC bajo + U bajo; en frío: SHGC alto captura calor,medida_pasiva,operación,Principal,,,Complementario,,,condicional,todos,Envolvente,obligatorio,recomendada,Valor U + SHGC,CEELA:C02; C04
Res.0194,MP-08,Valor U cubierta,Aislamiento térmico del techo; material + aislante + cámara de aire,medida_pasiva,operación,Principal,,,Complementario,,,si,todos,Cubierta,obligatorio,recomendada,Valor U cubierta (W/m²K),CEELA:C04; Res.0534:S-CT-1
Res.0194,MP-09,Valor U paredes externas,Aislamiento térmico de fachadas; concreto; mampostería; livianos,medida_pasiva,operación,Principal,,,Complementario,,,si,todos,Estructura Envolvente,obligatorio,recomendada,Valor U pared (W/m²K),CEELA:C04; Res.0534:S-CT-1
Res.0194,MP-10,Reflectividad paredes externas (SR),Capacidad de reflejar radiación solar (0-1); pinturas reflectantes,medida_pasiva,operación,Principal,,,,,,si,calido_seco calido_humedo,Envolvente,obligatorio,recomendada,SR (0-1),
Res.0194,MP-11,Reflectividad cubierta (SRI),Índice de reflectancia solar (0-100); pintura blanca SRI 79,medida_pasiva,operación,Principal,,,,,,si,calido_seco calido_humedo,Cubierta,obligatorio,recomendada,SRI (0-100),
Res.0194,MP-12,Cubierta verde,Sustrato + vegetación sobre losa; mitiga isla de calor,medida_pasiva,operación,Principal,,Complementario,,,,condicional,todos,Cubierta,obligatorio,recomendada,Valor U resultante (W/m²K),
Res.0194,MP-13,Inercia térmica,Materiales que almacenan calor y lo liberan progresivamente,medida_pasiva,operación,Principal,,,Complementario,,,si,frio calido_seco,Estructura,obligatorio,recomendada,Capacidad térmica (kJ/m²K),CEELA:C04; Res.0534:S-CT-1
Res.0194,MP-14,Ventilación natural,Entrada y salida de aire sin sistemas mecánicos,medida_pasiva,operación,Principal,,,,,,si,templado calido_seco calido_humedo,Envolvente,obligatorio,recomendada,ACH (cambios/hora),CEELA:C06; Res.0534:S-A-1
Res.0194,MP-15,Night flush (descarga nocturna),Eliminar calor diurno con aire fresco nocturno,medida_pasiva,operación,Principal,,,,,,si,calido_seco,Envolvente Cubierta,obligatorio,recomendada,ΔT diurna/nocturna,CEELA:C08
Res.0194,MA-01,Iluminación natural + control luz día,Aprovechar luz natural con sensores fotoeléctricos y dimerizadores,medida_activa,operación,Complementario,Principal,,,,,si,todos,Envolvente Instalaciones,obligatorio,recomendada,FLD (%),Res.0534:S-CL-1; S-CL-2
Res.0194,MA-02,Densidad potencia de luz (LED >90 lm/W),Luminarias LED eficientes; cumplir RETILAP Res. 40150/2024,medida_activa,operación,,Principal,,,,,si,todos,Instalaciones,obligatorio,recomendada,LPD (W/m²); lm/W,CEELA:C10; PROURE Res.41286/2016 meta residencial
Res.0194,MA-03,Controles de iluminación,Sensores de ocupación; fotométricos; dimerizadores,medida_activa,operación,,Principal,,,,,condicional,todos,Instalaciones,obligatorio,recomendada,,CEELA:C10
Res.0194,MA-04,COP de aire acondicionado,Coeficiente de desempeño; priorizar refrigerantes bajo GWP,medida_activa,operación,,Principal,,,,,condicional,calido_humedo,Instalaciones,obligatorio,recomendada,COP (adimensional),CEELA:C13
Res.0194,MA-05,Sensores CO parqueaderos,Regulan extracción mecánica según CO,medida_activa,operación,,Principal,,,,,no,no aplica,na,obligatorio,recomendada,ppm CO,
Res.0194,MA-06,Sensores CO₂ aire fresco,Controlan ingreso aire exterior según CO₂,medida_activa,operación,,Principal,,,,,no,no aplica,na,obligatorio,recomendada,ppm CO₂,Res.0534:S-A-1
Res.0194,MA-07,Variadores velocidad bombas,Control electrónico según demanda,medida_activa,operación,,Principal,,,,,no,no aplica,na,obligatorio,recomendada,% ahorro,
Res.0194,MA-08,Recuperación calor aire extracción (HRW),Rueda recuperadora que precalienta/pre-enfría; eficiencia ≥60%,medida_activa,operación,,Principal,,,,,no,no aplica,na,obligatorio,recomendada,Eficiencia (%),
Res.0194,MA-09,Variadores velocidad torres enfriamiento,VSD en ventiladores torres; cargas parciales,medida_activa,operación,,Principal,,,,,no,no aplica,na,obligatorio,recomendada,% ahorro,
Res.0194,MA-10,Agua caliente solar,Colectores solares para agua caliente,medida_activa,operación,,Principal,,,,,si,si,na,S5,obligatorio,recomendada,Fracción solar (%)
Res.0194,MA-11,Enfriamiento evaporativo,Enfría aire mediante evaporación de agua,medida_activa,operación,,Principal,,,,,si,si,na,S5,obligatorio,recomendada,ΔT enfriamiento (°C)
Res.0194,MA-12,Calentamiento radiante,Red tuberías agua caliente en piso/paredes/techo,medida_activa,operación,,Principal,,,,,condicional,condicional,na,S5,obligatorio,recomendada,T° superficie (°C)
Res.0194,MA-13,DOAS,Sistema aire exterior dedicado,medida_activa,operación,,Principal,,,,,no,no aplica,na,obligatorio,recomendada,Eficiencia DOAS,
Res.0194,MW-01,Accesorios ahorro agua,Grifería conservadora: bajo flujo; doble descarga,medida_hidrica,operación,,,Principal,,,,si,todos,Instalaciones,obligatorio,recomendada,Caudal (l/min),CEELA:C12
Res.0194,MW-02,Lavamanos eficientes,Cierre automático + aireadores; público <2 l/min; privado <6.8 l/min,medida_hidrica,operación,,,Principal,,,,si,todos,Instalaciones,obligatorio,recomendada,Caudal (l/min),CEELA:C12
Res.0194,MW-03,Duchas bajo flujo,Caudal <8 l/min eficiente,medida_hidrica,operación,,,Principal,,,,si,todos,Instalaciones,obligatorio,recomendada,Caudal (l/min),CEELA:C12
Res.0194,MW-04,Orinales eficientes,Consumo <1.5 l/descarga,medida_hidrica,operación,,,Principal,,,,no,na,na,recomendada,l/descarga,CEELA:C12,
Res.0194,MW-05,Inodoros eficientes,Simple <4.8 l/descarga; doble <4.5 l/descarga,medida_hidrica,operación,,,Principal,,,,si,todos,Instalaciones,obligatorio,recomendada,l/descarga,CEELA:C12
Res.0194,MW-06,Tratamiento aguas grises,PTAR para aguas residuales excepto sanitarios y cocina,medida_hidrica,operación,,,Principal,,,,condicional,todos,Instalaciones,obligatorio,recomendada,% reciclada,CEELA:C12; Decreto 3930/2010 (vertimientos; control aguas residuales)
