Referencia,URL_fuente,ID,Tema,Descripcion,Jerarquía,Etapa_ciclo_vida,E1_bioclimatica,E2_energia,E3_agua,E4_materiales,Notas,Ref_Ley2462,Aplica_vivienda_rural,Clima,Subsistema,Caracter_legal,Nivel_cumplimiento,Parametro_indicador,Correspondencia_cruzada
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MP-01,Relación Ventana / Pared (RVP),Proporción entre superficie vidriada y pared externa; equilibrar luz natural vs. transferencia calor,medida_pasiva,operación,Principal,,,,En vivienda rural de un piso la RVP debe equilibrar luz natural vs. ganancia solar según clima. En cálido húmedo priorizar ventanas amplias con protección; en frío reducir área vidriada para conservar calor,,si,todos,Envolvente,obligatorio,recomendada,RVP (%),Res.0534:S-CL-1
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MP-02,Protección solar horizontal,Aleros/voladizos sobre ventanas; bloquean radiación con ángulo alto,medida_pasiva,operación,Principal,,,,Aleros perimetrales >80 cm son la estrategia vernácula más común en vivienda rural colombiana (Caribe; Pacífico; eje cafetero). Bajo costo; alta efectividad; fácil de construir con mano de obra local,,si,templado calido_seco calido_humedo,Envolvente Cubierta,obligatorio,recomendada,ASV (°),CEELA:C02
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MP-03,Protección solar vertical,Aletas laterales a ventanas; bloquean radiación con ángulo bajo,medida_pasiva,operación,Principal,,,,Celosías y lamas verticales en fachadas oeste son críticas en cálido seco rural (Guajira; Tatacoa). Materiales locales: guadua; bahareque; madera,,si,templado calido_seco,Envolvente,obligatorio,recomendada,ASH (°),CEELA:C02
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MP-04,Protección solar combinada,Combinación de elementos horizontales + verticales,medida_pasiva,operación,Principal,,,,Combinación alero + celosía es patrón vernáculo del eje cafetero (bahareque con corredor perimetral). Patrimonio PCC UNESCO,,si,templado calido_seco calido_humedo,Envolvente,obligatorio,recomendada,ASV+ASH,CEELA:C02
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MP-05,Valor U del vidrio,Resistencia del vidrio al flujo de calor; menor U = mejor aislante,medida_pasiva,operación,Principal,,,Complementario,Vidrios especiales tienen costo alto para VIS rural (presupuesto 70 SMLV). Alternativa: reducir área vidriada + usar protección solar externa,,condicional,frio,Envolvente,obligatorio,recomendada,Valor U (W/m²K),CEELA:C04; Res.0534:S-CT-1
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MP-06,SHGC del vidrio,Coeficiente 0-1 de paso de radiación infrarroja; menor SHGC = menos ganancia solar,medida_pasiva,operación,Principal,,,,,,condicional,templado calido_seco calido_humedo,Envolvente,obligatorio,recomendada,SHGC (0-1),CEELA:C02
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MP-07,Vidrio U + SHGC combinado,En cálido: SHGC bajo + U bajo; en frío: SHGC alto captura calor,medida_pasiva,operación,Principal,,,Complementario,,,condicional,todos,Envolvente,obligatorio,recomendada,Valor U + SHGC,CEELA:C02; C04
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MP-08,Valor U cubierta,Aislamiento térmico del techo; material + aislante + cámara de aire,medida_pasiva,operación,Principal,,,Complementario,En vivienda rural la cubierta es el elemento con mayor ganancia solar. Aislamiento con materiales locales: paja comprimida (frío); palma (cálido húmedo); teja de barro (templado),,si,todos,Cubierta,obligatorio,recomendada,Valor U cubierta (W/m²K),CEELA:C04; Res.0534:S-CT-1
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MP-09,Valor U paredes externas,Aislamiento térmico de fachadas; concreto; mampostería; livianos,medida_pasiva,operación,Principal,,,Complementario,Muros de tapia (>40 cm) y adobe tienen Valor U naturalmente bajo por su masa térmica. En frío andino son la solución vernácula de aislamiento sin costo adicional,,si,todos,Estructura Envolvente,obligatorio,recomendada,Valor U pared (W/m²K),CEELA:C04; Res.0534:S-CT-1
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MP-10,Reflectividad paredes externas (SR),Capacidad de reflejar radiación solar (0-1); pinturas reflectantes,medida_pasiva,operación,Principal,,,,Pintura blanca exterior es la medida más costo-efectiva para vivienda rural en cálido seco y húmedo. SRI alto con inversión mínima,,si,calido_seco calido_humedo,Envolvente,obligatorio,recomendada,SR (0-1),
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MP-11,Reflectividad cubierta (SRI),Índice de reflectancia solar (0-100); pintura blanca SRI 79,medida_pasiva,operación,Principal,,,,Cubiertas de zinc sin pintura reflectiva son inhabitables en cálido (hasta 70 dB lluvia + 50°C radiación). Pintura blanca o sobrecubierta de yotojoro (wayuu) reducen hasta 80% la temperatura,,si,calido_seco calido_humedo,Cubierta,obligatorio,recomendada,SRI (0-100),
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MP-12,Cubierta verde,Sustrato + vegetación sobre losa; mitiga isla de calor,medida_pasiva,operación,Principal,,Complementario,,Cubierta verde requiere losa — no aplica directamente a vivienda rural con cubierta liviana. Alternativa rural: sobrecubierta vegetal sobre estructura liviana,,condicional,todos,Cubierta,obligatorio,recomendada,Valor U resultante (W/m²K),
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MP-13,Inercia térmica,Materiales que almacenan calor y lo liberan progresivamente,medida_pasiva,operación,Principal,,,Complementario,Inercia térmica es la estrategia dominante en vivienda rural andina. Tapia pisada y adobe estabilizan ±3°C la oscilación diurna. ENUT 2024-25: mujeres pasan 8h53min/día en vivienda rural — el confort térmico las impacta directamente,,si,frio calido_seco,Estructura,obligatorio,recomendada,Capacidad térmica (kJ/m²K),CEELA:C04; Res.0534:S-CT-1
