ID_fuente,Tipo_fuente,Archivo_fuente,Titulo,Autor_institucion,Año,URL_fuente,N_casos,Casos_asociados
F-M2-01,documento_proyecto,Vivienda-Nueva-Rural.pdf,Vivienda Nueva Rural en Antioquia,Empresa de Vivienda e Infraestructura de Antioquia (VIVA),2014,https://es.scribd.com/document/379978680/Vivienda-Nueva-Rural,6,CAS-001;CAS-002;CAS-003;CAS-004;CAS-005;CAS-006
F-M2-02,documento_proyecto,Vivienda+y+Cultura_Digital.pdf,Vivienda y cultura,"Calderón, Mosquera, Franco — Universidad del Valle / ICANH",2022,https://publicaciones.icanh.gov.co/index.php/picanh/catalog/view/131/304/2854,12,CAS-008;CAS-009;CAS-010;CAS-011;CAS-012;CAS-013;CAS-014;CAS-015;CAS-016;CAS-017;CAS-018;CAS-019
F-M2-03,documento_proyecto,Habitat-Para-La-Paz.pdf,Hábitat Para La Paz,Pontificia Universidad Javeriana,2021,https://es.scribd.com/document/515781543/Habitat-Para-La-Paz,1,CAS-007
F-M2-04,tesis,AR-Uniandes-Orocue.pdf,Vivienda rural llanera Orocué (tesis Uniandes / pub. Dearq),Ponce de León — Universidad de los Andes,2022/2023,https://repositorio.uniandes.edu.co/entities/publication/ff137b3e-52ce-49ff-80fc-9ecbf3c892ad,3,CAS-020;CAS-021;CAS-022
F-M2-05,tesis,TdeG-UGC-ruralColombia_2020.pdf,Vivienda rural Colombia (tesis UGC),Carvajal & Valencia — Universidad La Gran Colombia,2020,https://repository.ugc.edu.co/bitstream/handle/11396/5814/Carvajal_Ca%C5%86as_Joseph_Andrey_Valencia_Antonio_Tatiana_2020.pdf,2,CAS-026;CAS-027
F-M2-06,tesis,TdeG-UGC-SantaRosadeVitervo_2022.pdf,Transferencia tecnológica de técnicas vernáculas en Santa Rosa de Viterbo (tesis UGC),Orozco González — Universidad La Gran Colombia,2022,https://repository.ugc.edu.co/bitstream/handle/11396/7544/OROZCO_INGRID_2022.pdf,2,CAS-028;CAS-029
F-M2-07,tesis,TdeG-USTA-BelendeUmbria.pdf,Casa cafetera Belén de Umbría (tesis UCP/USTA),Farfán Ospina — UCP / USTA,2025,https://repositorio.ucp.edu.co/entities/publication/a4550d8b-1d8c-4016-b6a8-1566f3bf330b,2,CAS-030;CAS-031
F-M2-08,tesis,AR-Unisalle-Tame.pdf,Vivienda campesina Tame (tesis UniSalle),Espinel Solano — Universidad de La Salle,2021,https://drive.google.com/file/d/1PwFP7uOfJl3lhlNajwcD9zRbwrNfoa9D/view?usp=sharing,1,CAS-024
F-M2-09,tesis,TdeG-CECAR-habitatrural-LAGALLERA-SUCRE.pdf,"Hábitat rural La Gallera, Sucre (tesis CECAR)","Barragán, Hernández, Figueroa — Corporación Universitaria del Caribe (CECAR)",2023,https://repositorio.cecar.edu.co/server/api/core/bitstreams/8f7499ff-3f56-4ac2-8cc5-0602ef272709/content,1,CAS-025
F-M2-10,revista,AR-UniPamplona-ViviendaLlanera.pdf,Vivienda llanera (Modul. Arquit. CUC 34(1)),Tabares — Universidad de Pamplona,2024,https://revistascientificas.cuc.edu.co/moduloarquitecturacuc/article/view/6207/5932,1,CAS-023
F-M2-11,web,,Proyecto Miiroku - Habitat Wayuu (Casa Para Mi),Cementos Argos + Fundacion Santo Domingo + Grupo Aval/Corficolombiana + MinVivienda,2024,https://argos.co/el-proyecto-de-vivienda-miiroku-de-casa-para-mi-de-cementos-argos-obtiene-la-certificacion-en-sostenibilidad-casa-colombia/,1,CAS-032
F-M2-12,web,,Casa Franco - Bienal SCA 2024,Taller Espacio Colectivo (Aldo M. Hurtado + Carlos H. Betancourth) - Bienal Colombiana SCA,2024,https://bienalsca.co/project/casa-franco/,1,CAS-033
F-M2-13,web,,Reconstruccion Salgar - La Pradera,Ana Elvira Velez + Taller Sintesis Arquitectura (Bienal SCA 2018),2018,https://tallersintesis.com/portfolio/vi-ru-salgar/,1,CAS-034
F-M2-14,web,,Woven House (Casa Tejida),Santiago Pradilla + Zuloark - ArchDaily / Bienal SCA 2020,2021,https://www.archdaily.com/961145/woven-house-santiago-pradilla-plus-zuloark,1,CAS-035
F-M2-15,web,,Prototipo VISR Vivienda Cafetera (Sierra Nevada),Ensamble Arquitectura Integral (UNAL Bogota) + Federacion Nacional de Cafeteros - Corona Pro Habitat 2015,2017,https://www.ensambleai.com/post/2017/03/22/-prototipo-visr-vivienda-cafetera-construido,1,CAS-036
F-M2-16,web,,Vivienda Rural Cafetera VIVA,Ana Elvira Velez + VIVA (Empresa de Vivienda de Antioquia) - Corona Pro Habitat 2015,2017,https://www.anaelviravelez.co/vivienda-rural,1,CAS-037
F-M2-17,web,,Casa de Reforestacion Lamarilla - GANADORA Lapiz de Acero 2024,Quena Margarita Gonzalez Escobar + Juan David Hoyos Taborda (DENSO Arquitectura) - Cliente: Cecilia Escobar Trujillo - GANADORA Lapiz de Acero 2024 (Espacio / Diseño Arquitectonico); Finalista BIAU XIII,2023,https://www.lapizdeacero.org/winners/casa-de-reforestacion-lamarilla/,1,CAS-038
F-M2-18,web,,Vivienda piloto Bahareque-Guadua Cabildo Indigena Jambalo (El Tiempo),Cabildo Indigena Nasa Jambalo + Comite Cafeteros Cauca (arq. Jose Alonso Monteros),2014,https://www.eltiempo.com/archivo/documento/CMS-14211435,1,CAS-039
