ID_busqueda,Clima_TdR,Subtipo_Köppen,Categoria,Subsistema,Nombre,Familia,Eje,Prioridad,Estado,N_fuentes,Fuentes_clave_M1,Observaciones
BS-001,calido_humedo,Af,sistema,S2,Palafito madera,madera-guadua,E1,alta,pendiente,,,Pacífico chocoano; elevación >1.5m
BS-002,calido_humedo,Am,sistema,S2,Bahareque encementado,tierra,E1,alta,pendiente,,,Caribe húmedo; NSR-10 Título E
BS-003,calido_humedo,Af,sistema,S2,Guadua rolliza estructural,madera-guadua,E1,alta,pendiente,,,Eje cafetero + Pacífico
BS-004,calido_humedo,Am,sistema,S3,Esterilla de guadua,madera-guadua,E1,media,pendiente,,,Cerramiento liviano ventilado
BS-005,calido_humedo,Am,sistema,S2,Mampostería confinada ventilada,mamposteria,E1,media,pendiente,,,Con pared de protección solar SR
BS-006,calido_humedo,Af,sistema,S2,Palafito amazónico,madera-guadua,E1,media,pendiente,,,Vivienda rural indígena
BS-007,calido_seco,Aw,sistema,S2,Tapia pisada,tierra,E1,alta,pendiente,,,Valles interandinos secos
BS-008,calido_seco,Aw,sistema,S2,Adobe,tierra,E1,alta,pendiente,,,Altiplanos áridos
BS-009,calido_seco,BSh,sistema,S2,BTC - bloque tierra comprimida,tierra,E1,alta,pendiente,,,Tatacoa, Villa de Leyva
BS-010,calido_seco,BSh,sistema,S2,Mampostería con masa térmica,mamposteria,E1,media,pendiente,,,Muros >20cm
BS-011,calido_seco,BWh,sistema,S2,Yotojoro wayúu,vernaculo,E1,alta,pendiente,,,Alta Guajira - vacío normativo
BS-012,calido_seco,Aw,sistema,S2,Bahareque encementado Llanos,tierra,E1,media,pendiente,,,Orinoquía
BS-013,templado,Cfb,sistema,S2,Bahareque encementado eje cafetero,tierra,E1,alta,pendiente,,,Patrimonio PCC UNESCO
BS-014,templado,Cfb,sistema,S2,Tapia pisada andina,tierra,E1,alta,pendiente,,,Boyacá, Nariño
BS-015,templado,Cfb,sistema,S2,Adobe,tierra,E1,media,pendiente,,,
BS-016,templado,Cfb,sistema,S2,Mampostería confinada,mamposteria,E1,alta,pendiente,,,Sistema dominante VIS rural
BS-017,templado,Cfb,sistema,S2,Guadua rolliza,madera-guadua,E1,media,pendiente,,,
BS-018,frio,Cwb,sistema,S2,Tapia pisada altiplano,tierra,E1,alta,pendiente,,,Cundiboyacense
BS-019,frio,Cwb,sistema,S2,Adobe con aislamiento,tierra,E1,alta,pendiente,,,Nariño
BS-020,frio,Cwb,sistema,S2,Mampostería confinada con aislamiento térmico,mamposteria,E1,alta,pendiente,,,
BS-021,frio,Cwb,sistema,S2,Quincha,tierra,E1,media,pendiente,,,Sur andino
BS-022,frio,ET,sistema,S2,Vivienda altoandina páramo,vernaculo,E1,alta,pendiente,,,Sumapaz - vacío normativo; literatura andina PE/BO/EC
BS-023,calido_humedo,,material,S1,Pilotes de madera inmunizada,madera-guadua,E4,alta,pendiente,,,Anti humedad permanente
BS-024,calido_humedo,,material,S4,Teja de polialuminio reciclado,reciclado,E4,media,pendiente,,,Tetra Pak
BS-025,calido_humedo,,material,S4,Palma amarga / iraca / real,vernaculo,E4,media,pendiente,,,Cubierta vernácula
BS-026,calido_seco,,material,S2,Tierra cruda estabilizada,tierra,E4,alta,pendiente,,,6-10% cemento o cal
BS-027,calido_seco,,material,S4,Teja de barro cocido,ceramica,E4,media,pendiente,,,Producción local
BS-028,templado,,material,S2,Guadua Kunth,madera-guadua,E4,alta,pendiente,,,NTC 5301
BS-029,templado,,material,S2,Madera aserrada certificada,madera-guadua,E4,alta,pendiente,,,FSC
BS-030,templado,,material,S3,Bloque de concreto,mamposteria,E4,media,pendiente,,,GWP moderado
BS-031,frio,,material,S6,Aislante paja comprimida,vernaculo,E4,alta,pendiente,,,Alternativa natural
BS-032,frio,,material,S6,Aislante lana de oveja,vernaculo,E4,media,pendiente,,,Disponibilidad altoandina
BS-033,todos,,material,S2,Ladrillo ecológico PET,reciclado,E4,media,pendiente,,,Innovación CO
BS-034,todos,,material,S3,Vidrio común (referencia base),otro,E4,baja,pendiente,,,Para comparar con vidrio control solar
BS-035,todos,,material,S6,Pintura bajo VOC,otro,E4,media,pendiente,,,Ver Cartilla Uniandes-CCCS
BS-036,calido_humedo,,complemento,S4,Alero perimetral amplio,-,E1,alta,pendiente,,,>80cm voladizo
BS-037,calido_humedo,,complemento,S4,Cubierta SRI alto,-,E1,alta,pendiente,,,Anexo 1 MP-10
BS-038,calido_humedo,,complemento,S3,Ventilación cruzada diseñada,-,E1,alta,pendiente,,,Anexo 1 MP-13
BS-039,calido_humedo,,complemento,S4,Ventilación por efecto chimenea,-,E1,alta,pendiente,,,
BS-040,calido_humedo,,complemento,S3,Vidrio de control solar SHGC,-,E1,media,pendiente,,,Anexo 1 MP-07
BS-041,calido_seco,,complemento,S4,Alero + protección solar combinada,-,E1,alta,pendiente,,,Anexo 1 MP-05
BS-042,calido_seco,,complemento,S3,Masa térmica muros gruesos,-,E1,alta,pendiente,,,Anexo 1 MP-14
BS-043,calido_seco,,complemento,S3 S4,Night flush,-,E1,alta,pendiente,,,Anexo 1 MP-15
BS-044,calido_seco,BSh BWh,complemento,S5,Captación pluvial + jagüey,-,E3,alta,pendiente,,,Anexo 1 MW-06 prioritario
BS-045,calido_seco,BWh,complemento,S5,Atrapanieblas,-,E3,media,pendiente,,,Páramo y Guajira alta
BS-046,templado,,complemento,S3,Protección solar horizontal,-,E1,alta,pendiente,,,Anexo 1 MP-03
BS-047,templado,,complemento,S3,Protección solar vertical,-,E1,media,pendiente,,,Anexo 1 MP-04
BS-048,templado,,complemento,S4,Cubierta verde,-,E1,media,pendiente,,,Anexo 1 MP-01
BS-049,frio,,complemento,S4,Aislamiento térmico de cubierta,-,E1,alta,pendiente,,,Anexo 1 MP-09
BS-050,frio,,complemento,S2 S3,Aislamiento térmico de pared,-,E1,alta,pendiente,,,Anexo 1 MP-11
BS-051,frio,,complemento,S3,Vidrio de aislamiento térmico U,-,E1,alta,pendiente,,,Anexo 1 MP-06
BS-052,frio,,complemento,S2,Orientación solar y ganancia pasiva,-,E1,alta,pendiente,,,Anexo 1 MP (diseño)
